member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian
r1i1p1f1,0,factual,1980-02-15 12:00:00,27.477217,87.94118,0.7820487785825789,0.9062191532916065
r1i1p1f1,1,factual,1980-02-15 12:00:00,36.96071,92.63158,0.0,0.9368440355254577
r1i1p1f1,2,factual,1980-08-16 12:00:00,-4.7323947,293.33334,0.4455800560543248,0.999953475858595
r1i1p1f1,3,factual,1981-03-16 12:00:00,17.597347,355.7353,0.60913039729537,0.9850530711055189
r1i1p1f1,4,factual,1981-03-16 12:00:00,20.757042,2.5,0.4099937975110828,0.982907863212943
r1i1p1f1,5,factual,1981-04-16 00:00:00,-76.1469,156.42857,0.8358859292482048,0.6113551363156104
r1i1p1f1,6,factual,1982-03-16 12:00:00,27.676058,113.19444,0.7988623244519839,0.7486459276984373
r1i1p1f1,7,factual,1982-07-16 12:00:00,-77.07042,264.15625,0.9722946040443408,0.6912919230783477
r1i1p1f1,8,factual,1982-07-16 12:00:00,-77.830986,121.5,0.5859621762976956,0.5769118303204018
r1i1p1f1,9,factual,1983-01-16 12:00:00,69.60307,287.72726,0.9976757170323767,0.6665658856779472
r1i1p1f1,10,factual,1983-09-16 00:00:00,-33.295776,297.5,0.18871870483892628,0.21050023855405797
r1i1p1f1,11,factual,1984-02-15 12:00:00,40.309856,29.833334,0.8580423674259217,0.813646093596803
r1i1p1f1,12,factual,1984-05-16 12:00:00,-77.63853,37.81022,0.9861681566659586,0.5250468378839905
r1i1p1f1,13,factual,1984-12-16 12:00:00,56.69654,293.0303,0.0,0.8330657052851375
r1i1p1f1,14,factual,1984-12-16 12:00:00,65.800255,289.54544,0.9996325291034623,0.6256660657610309
r1i1p1f1,15,factual,1986-01-16 12:00:00,61.01792,40.56818,0.9786236809957369,0.8069583475254937
r1i1p1f1,16,factual,1986-03-16 12:00:00,47.47054,10.051021,0.7567323289384056,0.8258758816418366
r1i1p1f1,17,factual,1986-08-16 12:00:00,-72.04226,294.375,0.7783437515136474,0.7361842331867676
r1i1p1f1,18,factual,1987-05-16 12:00:00,26.28169,348.33334,0.4912934404863837,0.9111653692228849
r1i1p1f1,19,factual,1988-01-16 12:00:00,73.80282,322.91666,0.829102519367807,0.8708499241071392
r1i1p1f1,20,factual,1988-02-15 12:00:00,40.05634,56.5,0.7022852202174802,0.7583203224574905
r1i1p1f1,21,factual,1988-04-16 00:00:00,29.070421,8.5,0.9517919567075543,0.9862587787767549
r1i1p1f1,22,factual,1988-05-16 12:00:00,28.920187,25.0,0.8354331215298856,0.960993745884075
r1i1p1f1,23,factual,1988-09-16 00:00:00,-84.48326,244.43661,0.8302028159947996,0.7949160907266885
r1i1p1f1,24,factual,1988-09-16 00:00:00,-2.4144866,27.5,0.5102323041797048,0.9998608979600935
r1i1p1f1,25,factual,1988-11-16 00:00:00,-18.450705,32.22222,0.5774497256403126,0.9980073745377799
r1i1p1f1,26,factual,1989-02-15 00:00:00,3.9003253,295.0,0.11113903081306875,0.9928404489251409
r1i1p1f1,27,factual,1989-03-16 12:00:00,4.2184253,292.5,0.3903935626973748,0.9994769050071393
r1i1p1f1,28,factual,1989-04-16 00:00:00,-4.8467274,283.2353,0.22724896650500082,0.9999898247885822
r1i1p1f1,29,factual,1989-04-16 00:00:00,5.0153093,301.19565,0.3526046863229344,0.9997702154331989
r1i1p1f1,30,factual,1989-05-16 12:00:00,-83.6159,101.181816,0.8367999980308898,0.7414655335865391
r1i1p1f1,31,factual,1989-05-16 12:00:00,18.613785,103.289474,0.2914273622724064,0.9735987021139813
r1i1p1f1,32,factual,1989-12-16 12:00:00,50.89759,244.78813,0.0,0.8593472430976021
r1i1p1f1,33,factual,1990-01-16 12:00:00,14.957745,25.555555,0.3259317302799014,0.9968593970548293
r1i1p1f1,34,factual,1990-03-16 12:00:00,39.871964,84.09091,0.0,0.8842665046881901
r1i1p1f1,35,factual,1990-12-16 12:00:00,64.77464,264.25,0.0,0.9609489980347069
r1i1p1f1,36,factual,1991-02-15 00:00:00,68.028175,200.83333,0.9108792502940917,0.9334484798772542
r1i1p1f1,37,factual,1991-04-16 00:00:00,-84.699104,163.40909,0.7865037912450651,0.7772727733426329
r1i1p1f1,38,factual,1991-06-16 00:00:00,-87.01995,103.23219,0.6882386695998428,0.7781878589542669
r1i1p1f1,39,factual,1991-07-16 12:00:00,-12.45236,29.705883,0.47632473182376467,0.9986861978391723
r1i1p1f1,40,factual,1992-03-16 12:00:00,38.37388,81.13636,0.5355176016221116,0.8796488990516588
r1i1p1f1,41,factual,1992-03-16 12:00:00,73.09859,320.45834,0.41727622225081695,0.9391440930625792
r1i1p1f1,42,factual,1993-01-16 12:00:00,51.49648,73.59375,0.5624836373057226,0.7126420486182669
r1i1p1f1,43,factual,1994-12-16 12:00:00,68.32395,320.625,0.8912073706138245,0.9237469374686738
r1i1p1f1,44,factual,1995-02-15 00:00:00,22.047285,22.142857,0.287501588294117,0.9848824814382413
r1i1p1f1,45,factual,1995-03-16 12:00:00,27.464788,31.309525,0.48226041651636464,0.9848012152038375
r1i1p1f1,46,factual,1995-04-16 00:00:00,-70.67389,126.53846,0.7378609956905195,0.6525242359379719
r1i1p1f1,47,factual,1995-08-16 12:00:00,68.56595,130.90909,0.8936805199895791,0.9441167115470822
r1i1p1f1,48,factual,1995-10-16 12:00:00,80.89629,313.75,0.7656517452237683,0.9278930368742656
r1i1p1f1,49,factual,1996-01-16 12:00:00,34.492214,246.3158,0.8174610973240781,0.950499386251862
r1i1p1f1,50,factual,1996-01-16 12:00:00,71.08344,93.46154,0.43198698667441215,0.9532233572453731
r1i1p1f1,51,factual,1996-02-15 12:00:00,15.544848,352.3684,0.5522902974690269,0.9938487210103916
r1i1p1f1,52,factual,1996-02-15 12:00:00,41.770622,263.33334,0.982574240180634,0.8407705543242858
r1i1p1f1,53,factual,1996-07-16 12:00:00,-16.42376,296.30435,0.7053966919707713,0.9976362187855722
r1i1p1f1,54,factual,1996-09-16 00:00:00,-30.032505,131.92308,0.6753796530381486,0.9605191673522008
r1i1p1f1,55,factual,1996-11-16 00:00:00,-2.4295774,297.08334,0.5590769864889338,0.9999999286362021
r1i1p1f1,56,factual,1996-12-16 12:00:00,51.33803,95.0,0.6266384985771924,0.8254804835986997
r1i1p1f1,57,factual,1997-02-15 00:00:00,80.82497,332.9762,0.9950583671058685,0.9167216900702128
r1i1p1f1,58,factual,1999-11-16 00:00:00,-6.5492954,312.91666,0.5813997285396588,0.9999372154340833
r1i1p1f1,59,factual,1999-12-16 12:00:00,77.323944,312.70834,0.958624711337517,0.945794383763525
r1i1p1f1,60,factual,2000-04-16 00:00:00,36.201324,43.308823,0.0,0.9710186286190999
