member,event_id,scenario,time,lat,lon,pn_ensemble_gaussian,pn_thermo_ML_gaussian,pn_dynamical_adjustment_local_gaussian,pn_adjusted_thermo_ML_gaussian
r1i1p1f1,0,factual,2004-02-15 12:00:00,34.71524,39.81884,0.690196246431289,0.994681575221119,0.943297616543446,0.9948241812665438
r1i1p1f1,1,factual,2004-03-16 12:00:00,23.957745,46.833332,0.8224945516952165,0.9827614046100867,0.9231647038741979,0.9963211548839089
r1i1p1f1,2,factual,2004-03-16 12:00:00,31.021128,107.708336,0.8513126568832158,0.9107769077248467,0.8897604735152858,0.9495408665531951
r1i1p1f1,3,factual,2004-03-16 12:00:00,69.5849,282.89474,0.9511209524274559,0.9334603194247534,0.5313113295587937,0.9903690332485372
r1i1p1f1,4,factual,2004-03-16 12:00:00,79.33604,286.1508,0.974185603782692,0.9714030225382984,0.95239869882364,0.9897609443872706
r1i1p1f1,5,factual,2004-04-16 00:00:00,33.416706,39.051723,0.7959195538718956,0.9513245083950936,0.8156828647412111,0.9909464020339416
r1i1p1f1,6,factual,2004-06-16 00:00:00,-77.4313,42.337135,0.8728817819346357,0.7588688356970158,0.8807280267265037,0.9842233572540418
r1i1p1f1,7,factual,2004-06-16 00:00:00,-14.586391,26.514084,0.6789373197590002,0.9971645759596252,0.9732740872967393,0.9989741515153227
r1i1p1f1,8,factual,2004-06-16 00:00:00,53.12759,11.764706,0.9828776512349453,0.8433544268491802,0.8960859080337464,0.999728684853811
r1i1p1f1,9,factual,2004-07-16 12:00:00,-72.54161,114.03409,0.9877257261203211,0.5779172221583098,0.908282125099726,0.9860949218048453
r1i1p1f1,10,factual,2004-07-16 12:00:00,-20.189835,135.57971,0.8855371052180676,0.9787358511359084,0.8472651766355858,0.9996499084529948
r1i1p1f1,11,factual,2004-07-16 12:00:00,25.352112,22.57353,0.7489085231196313,0.9371959075015339,0.49438213214977234,0.8253082871141761
r1i1p1f1,12,factual,2004-10-16 12:00:00,-21.512012,27.720589,0.8134175506078896,0.98536000397968,0.8872305727165591,0.9948896943419362
r1i1p1f1,13,factual,2004-10-16 12:00:00,52.052746,263.03192,0.943537327590342,0.7856548919011515,0.9780301916881181,0.998021895890063
r1i1p1f1,14,factual,2004-11-16 00:00:00,49.35484,245.48387,0.9432045475262099,0.8159409446666279,0.9318407629845218,0.9934091221730353
r1i1p1f1,15,factual,2004-11-16 00:00:00,67.53214,100.54348,0.9648422324540221,0.9213373039520725,0.9605529566573013,0.999249112697874
r1i1p1f1,16,factual,2004-12-16 12:00:00,32.746475,261.18054,0.7395896128148707,0.8721787038686013,0.9241301311818917,0.9923845513392452
r1i1p1f1,17,factual,2004-12-16 12:00:00,47.676052,284.83334,0.38479332388435306,0.9822156084324529,0.9801710212175355,0.999999998656557
r1i1p1f1,18,factual,2004-12-16 12:00:00,64.26761,139.95,0.9917913239285219,0.9987435188107874,0.9998759084024381,0.9999999999999999
r1i1p1f1,19,factual,2004-12-16 12:00:00,62.48069,63.75,0.9310040943599728,0.8725323656409963,0.883487324100914,0.9956517682370672
r1i1p1f1,20,factual,2005-01-16 12:00:00,34.305412,271.71054,0.9471830236989831,0.9469239397431468,0.9899602092427164,0.9995041723148359
r1i1p1f1,21,factual,2005-01-16 12:00:00,47.63839,114.941864,0.8432181234424293,0.9232909036807935,0.9608513918418344,0.9273645744369801
r1i1p1f1,22,factual,2005-02-15 00:00:00,-24.03813,132.5,0.8027790881504373,0.9754596067899726,0.5908911381816875,0.9947966440369411
r1i1p1f1,23,factual,2005-03-16 12:00:00,-81.468025,150.92949,0.9906736105418131,0.7706870548913394,0.9156023889619409,0.9820929643145204
r1i1p1f1,24,factual,2005-03-16 12:00:00,50.90704,11.55,0.5710026760658853,0.8633150480452396,0.9232893948383479,0.9999413218715151
r1i1p1f1,25,factual,2005-04-16 00:00:00,23.432594,7.214286,0.7923057714003825,0.9915033513245674,0.7914131026588762,0.969256050612758
r1i1p1f1,26,factual,2005-05-16 12:00:00,-81.44729,315.20114,0.9351776942562462,0.828766481583852,0.715710010811345,0.9767430705763587
r1i1p1f1,27,factual,2005-05-16 12:00:00,-17.330395,24.75191,0.8555802582253557,0.999851444157179,0.9954083622086418,0.9999576273551677
r1i1p1f1,28,factual,2005-06-16 00:00:00,-87.55323,189.2345,0.7502096563458847,0.8692764615761441,0.9593191185150989,0.9832894493761806
r1i1p1f1,29,factual,2005-06-16 00:00:00,-79.22535,62.265625,0.9445196613080828,0.7255142952257705,0.8236989040868086,0.9773242694775083
